movie_id,actor_id
604243,1510971
604243,1770528
604243,1602739
604243,20056
604243,992504
604243,1272631
604243,62971
604243,1194117
84165,1146
84165,2632
84165,3730
84165,20879
84165,19152
84165,3872
84165,1003934
84165,19580
84165,1206276
84165,1824053
86703,28639
86703,129122
86703,217272
86703,211900
86703,933544
86703,933545
86703,933546
86703,933547
86703,933548
86703,933549
611605,2349063
611605,1040368
611605,4944
611605,22053
611605,1454845
611605,1137246
611605,160600
611605,2349064
611605,1781001
611605,1534552
342472,1091795
342472,8289
342472,60458
342472,106490
342472,3129
342472,15091
342472,1263515
342472,1485556
342472,9979
342472,75604
68412,6368
68412,36190
68412,13550
68412,557607
68412,49824
68412,82104
68412,73569
68412,106219
68412,1254435
275696,20354
275696,8210
275696,85924
176068,55899
176068,116088
176068,589098
176068,209511
176068,962382
176068,962381
176068,1216907
176068,1216908
176068,1216909
176068,1216910
629442,1223970
489064,21319
629442,74036
629442,49833
489064,27737
629442,59297
489064,3901
629442,6197
489064,11160
629442,9629
489064,5695
629442,21818
489064,53257
629442,4445
629442,1286744
489064,59673
629442,1510511
489064,62001
489064,6396
489064,1642765
300667,18050
300667,4038
300667,3489
300667,15455
300667,205797
300667,131006
300667,58643
300667,77090
300667,1273248
300667,1496672
217316,17288
217316,557259
217316,216299
217316,216294
217316,216290
217316,567278
217316,1443760
217316,1112222
217316,90424
217316,1212340
136400,5292
136400,13240
136400,52851
136400,587
136400,2053
136400,11006
136400,10430
136400,31512
136400,1289977
136400,52801
645434,9205
160647,154332
160647,59222
645434,5576
160647,188013
645434,54182
160647,21246
645434,11149
160647,1360087
645434,13021
160647,1256036
645434,17343
160647,1213105
645434,13022
160647,1534771
645434,17305
160647,1534772
645434,6734
160647,1385639
645434,929065
261359,6575
261359,16700
261359,58724
261359,32887
261359,20173
261359,17787
261359,67979
261359,52394
261359,557840
261359,1431050
75302,1129912
75302,1128048
75302,178447
75302,1926662
75302,85613
75302,2415492
75302,132823
75302,7016
75302,1396774
75302,85506
416691,1562074
416691,77517
416691,503
416691,221098
416691,1254396
416691,1252313
416691,1681767
416691,1535162
77485,77321
77485,205982
77485,583110
77485,583111
77485,62596
77485,583112
77485,583113
77485,42824
77485,583114
77485,51579
410270,1690866
410270,1690867
410270,1690869
410270,74673
410270,97583
410270,555734
410270,1269198
410270,1211636
410270,1690876
410270,1192288
576782,1172824
320349,1654257
576782,2223009
320349,1654258
320349,1654259
320349,1654260
320349,1654261
320349,1654262
320349,1654263
320349,1654264
320349,1654265
320349,1654266
269795,91520
269795,20374
269795,589650
269795,1068123
269795,29097
269795,1383834
269795,81331
269795,1347947
269795,76850
269795,27754
425849,1343579
425849,1708159
425849,1708160
425849,559358
425849,1296135
425849,1338044
425849,1348735
425849,1395818
425849,1473079
425849,1864205
45034,11084
45034,8892
45034,935049
198057,83352
198057,589461
198057,18262
198057,1982
198057,7401
198057,961834
198057,59846
198057,558517
198057,1178351
198057,1178353
190967,18999
190967,12898
190967,1894
190967,91369
190967,7166
190967,74748
190967,7623
190967,168924
190967,33654
190967,87192
342927,1473345
342927,31633
342927,569165
342927,11160
342927,1081736
342927,552276
342927,1371784
342927,1522266
342927,1315802
342927,1489198
770906,237045
770906,117690
770906,85883
770906,1275608
770906,465273
770906,1187399
770906,574772
770906,2262423
770906,1511161
770906,85733
263897,34918
263897,14902
263897,29384
263897,960258
263897,216227
263897,20196
126889,17288
126889,77795
126889,8289
126889,62862
126889,76961
126889,37158
126889,181081
126889,1486488
126889,139150
126889,37290
345923,59175
345923,76512
345923,999605
345923,1179659
345923,1907730
345923,63312
345923,51682
345923,6413
345923,1660590
345923,1855068
376475,1559751
376475,1559752
376475,1559754
376475,1559755
251321,6161
251321,2037
251321,19119
251321,140238
251321,1286655
251321,19489
251321,1292552
251321,940446
251321,81494
251321,1292553
278086,9789
278086,4776
278086,3183897
278086,9805
278086,3085
278086,827
278086,3183898
278086,10420
278086,30613
278086,10437
548786,65827
548786,13022
548786,11150
548786,14698
548786,446351
548786,6905
548786,20495
548786,52366
548786,17920
548786,162924
450994,1830338
450994,1830339
450994,150929
450994,19981
450994,156532
450994,154954
450994,1657642
450994,1913845
450994,1866676
450994,1650137
158997,1298681
158997,1298684
158997,1140437
158997,565250
158997,1298685
158997,1298686
103597,3136
103597,64751
103597,400
103597,20710
103597,78882
103597,24397
103597,20853
103597,1089799
103597,82284
103597,950125
219674,1204430
219674,7447
219674,3753
219674,145326
219674,1204432
219674,56757
409281,1466101
409281,1548974
409281,1334169
409281,1527994
409281,1468969
409281,1502185
409281,1660256
409281,1660257
410537,1618860
410537,968742
410537,1585044
410537,30064
410537,1670804
410537,1704843
410537,967734
410537,2012731
410537,1539204
410537,3848220
351043,7517
351043,8210
351043,42820
351043,18262
351043,5274
351043,1502916
555377,558820
555377,77071
555377,58853
555377,941837
180810,21089
180810,7489
180810,68287
180810,226833
180810,1370777
180810,1163334
109443,23659
109443,4495
109443,22226
109443,28638
109443,18979
109443,19152
109443,22122
109443,1753210
109443,11006
109443,17141
324352,593
324352,1213599
324352,27737
324352,1424519
324352,22053
324352,56183
324352,115005
324352,1424520
324352,1424521
324352,99583
396622,55265
396622,76095
396622,21318
396622,21125
396622,5151
396622,113867
396622,4255
396622,173990
396622,1617120
396622,226344
460089,107546
460089,1827184
460089,1488952
460089,1109702
460089,156395
460089,31365
460089,2207923
460089,3039117
468362,935235
468362,20286
468362,577478
468362,94431
468362,1079533
468362,16604
468362,81480
468362,1100011
468362,1859534
468362,1254474
70571,9274
70571,25867
70571,2268567
70571,107550
70571,83536
70571,1242746
70571,1734709
70571,2257
70571,2268568
663414,1104715
663414,1390392
663414,2517997
663414,1126805
663414,2163730
663414,2519041
464752,1400921
464752,1845449
464752,1845450
464752,1845451
464752,1845452
94104,56365
94104,40477
94104,51988
94104,2372
