id,title,release_date,budget,revenue,vote_average,vote_count,popularity,genres,keywords
159014,20 Feet from Stardom,2013-06-14,1000000,5892466,7.22,226,10.695,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",[]
407806,13th,2016-10-07,0,0,7.939,710,15.184,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[378, 6078, 2831, 3060, 9826, 10410, 12425, 40870, 156117, 171692, 187056, 192279, 225621, 239902, 240847, 251436]"
596343,18 to Party,2019-10-04,0,0,6.9,7,1.455,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
61420,The 19th Wife,2010-09-13,0,0,4.7,7,2.685,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]","[2692, 6751, 156166, 322606]"
531647,22 Chaser,2018-07-06,0,0,7.1,18,4.683,"[1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
597612,17 Blocks,2019-04-27,0,0,7.1,12,1.283,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
295588,23 Blast,2014-10-24,0,0,6.75,60,8.168,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[6075, 18035]"
205225,24 Exposures,2013-08-04,0,0,4.268,28,5.655,"[1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1003, 9826, 10827, 11727, 14818]"
356294,25 April,2015-09-15,0,0,6.6,7,1.305,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",[187056]
1058654,"27, Memory Lane",2014-04-26,0,0,6.0,1,0.681,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","[4379, 9840]"
62206,30 Minutes or Less,2011-08-11,28000000,40500000,5.751,1602,24.851,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[5983, 3330, 179430]"
322849,30 Years from Here,2011-11-25,0,0,1.0,1,1.327,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[740, 9766]"
118984,33 Postcards,2011-06-09,0,0,6.1,14,3.573,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[5656, 6783, 13014, 187056]"
40807,50/50,2011-09-30,8000000,39187783,7.172,3582,24.629,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[6054, 970, 2726, 437, 10163, 11268, 11612, 12392, 13005, 14781, 161698, 163699, 220363]"
403119,47 Meters Down,2017-05-25,5500000,62198461,5.8,2611,25.251,"[0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[380, 269, 2988, 4392, 13031, 15097, 185477]"
244801,52 Tuesdays,2014-05-01,0,0,5.233,30,1.991,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10683, 10809, 18035, 187056]"
449751,The 60 Yard Line,2017-09-08,0,0,5.4,7,1.4,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",[]
367462,68 Kill,2017-08-04,0,0,5.866,168,12.402,"[0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[9826]
1170944,Heist 88,2023-09-29,0,0,5.8,17,35.014,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[15363, 18023]"
343795,90 Minutes in Heaven,2015-09-11,5000000,4842699,6.0,147,27.045,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[11612, 14765]"
89326,96 Minutes,2011-10-14,0,0,5.671,73,5.701,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[187056]
334532,100 Streets,2016-11-11,0,0,6.176,148,13.678,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[444, 212, 9672, 7912, 11290, 155817, 208806, 221727, 232687]"
86820,4:44 Last Day on Earth,2012-03-23,0,17801,4.6,152,10.814,"[1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2679, 10150, 12332]"
89455,360,2012-07-25,0,1663931,5.694,260,12.102,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[1326]
285181,1001 Grams,2014-09-07,0,0,5.8,31,3.403,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[240303, 280442]"
489995,306 Hollywood,2018-01-18,0,0,6.5,6,1.112,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[5609, 164039, 187056, 188293, 198147, 248870]"
215918,1982,2013-12-31,1000000,0,6.2,5,4.162,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[970, 1803, 165402]"
502220,1985,2018-10-26,0,0,6.1,59,7.106,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[740, 1013, 1556, 10235, 9766, 11524, 12999, 158718, 168750, 208289, 258533]"
448916,2036 Origin Unknown,2018-06-08,0,0,4.697,228,14.354,"[0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[310, 839, 5340, 14541, 245124]"
360239,3688,2015-09-11,0,0,4.6,5,1.883,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]","[10229, 186120, 209643, 241984]"
473072,2036: Nexus Dawn,2017-08-30,0,0,6.9,341,15.914,"[0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[803, 947, 4565, 12190, 171068, 233512, 256328, 263548]"
509585,7500,2019-12-26,0,0,6.138,760,20.28,"[1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[3800, 1930, 3203, 187, 8044, 10184, 13015, 234113, 257262, 322590, 322607]"
575788,2040,2019-05-23,0,0,6.709,43,5.074,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
583911,2050,2019-03-01,0,0,4.552,29,8.862,"[1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[310, 9715, 6038, 14544, 298603]"
248781,ABCs of Death 2 1/2,2016-08-02,0,0,4.798,52,5.777,"[0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","[9706, 187056]"
431580,Abominable,2019-09-19,75000000,190304772,7.495,1929,45.706,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0]","[8873, 10235, 9824, 10794, 179430, 192779, 207372, 237523]"
467924,Abe & Phil's Last Poker Game,2018-01-12,0,0,6.778,9,1.453,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
